currency code,symbol,name,native symbol,decimal_digits,rounding,name_plural
USD,$,US Dollar,$,2,0,US dollars
CAD,CA$,Canadian Dollar,$,2,0,Canadian dollars
EUR,€,Euro,€,2,0,euros
AED,AED,United Arab Emirates Dirham,د.إ.‏,2,0,UAE dirhams
AFN,Af,Afghan Afghani,؋,0,0,Afghan Afghanis
ALL,ALL,Albanian Lek,Lek,0,0,Albanian lekë
AMD,AMD,Armenian Dram,դր.,0,0,Armenian drams
ARS,AR$,Argentine Peso,$,2,0,Argentine pesos
AUD,AU$,Australian Dollar,$,2,0,Australian dollars
AZN,man.,Azerbaijani Manat,ман.,2,0,Azerbaijani manats
BAM,KM,Bosnia-Herzegovina Convertible Mark,KM,2,0,Bosnia-Herzegovina convertible marks
BDT,Tk,Bangladeshi Taka,৳,2,0,Bangladeshi takas
BGN,BGN,Bulgarian Lev,лв.,2,0,Bulgarian leva
BHD,BD,Bahraini Dinar,د.ب.‏,3,0,Bahraini dinars
BIF,FBu,Burundian Franc,FBu,0,0,Burundian francs
BND,BN$,Brunei Dollar,$,2,0,Brunei dollars
BOB,Bs,Bolivian Boliviano,Bs,2,0,Bolivian bolivianos
BRL,R$,Brazilian Real,R$,2,0,Brazilian reals
BWP,BWP,Botswanan Pula,P,2,0,Botswanan pulas
BYN,Br,Belarusian Ruble,руб.,2,0,Belarusian rubles
BZD,BZ$,Belize Dollar,$,2,0,Belize dollars
CDF,CDF,Congolese Franc,FrCD,2,0,Congolese francs
CHF,CHF,Swiss Franc,CHF,2,0.05,Swiss francs
CLP,CL$,Chilean Peso,$,0,0,Chilean pesos
CNY,CN¥,Chinese Yuan,CN¥,2,0,Chinese yuan
COP,CO$,Colombian Peso,$,0,0,Colombian pesos
CRC,₡,Costa Rican Colón,₡,0,0,Costa Rican colóns
CVE,CV$,Cape Verdean Escudo,CV$,2,0,Cape Verdean escudos
CZK,Kč,Czech Republic Koruna,Kč,2,0,Czech Republic korunas
DJF,Fdj,Djiboutian Franc,Fdj,0,0,Djiboutian francs
DKK,Dkr,Danish Krone,kr,2,0,Danish kroner
DOP,RD$,Dominican Peso,RD$,2,0,Dominican pesos
DZD,DA,Algerian Dinar,د.ج.‏,2,0,Algerian dinars
EEK,Ekr,Estonian Kroon,kr,2,0,Estonian kroons
EGP,EGP,Egyptian Pound,ج.م.‏,2,0,Egyptian pounds
ERN,Nfk,Eritrean Nakfa,Nfk,2,0,Eritrean nakfas
ETB,Br,Ethiopian Birr,Br,2,0,Ethiopian birrs
GBP,£,British Pound Sterling,£,2,0,British pounds sterling
GEL,GEL,Georgian Lari,GEL,2,0,Georgian laris
GHS,GH₵,Ghanaian Cedi,GH₵,2,0,Ghanaian cedis
GNF,FG,Guinean Franc,FG,0,0,Guinean francs
GTQ,GTQ,Guatemalan Quetzal,Q,2,0,Guatemalan quetzals
HKD,HK$,Hong Kong Dollar,$,2,0,Hong Kong dollars
HNL,HNL,Honduran Lempira,L,2,0,Honduran lempiras
HRK,kn,Croatian Kuna,kn,2,0,Croatian kunas
HUF,Ft,Hungarian Forint,Ft,0,0,Hungarian forints
IDR,Rp,Indonesian Rupiah,Rp,0,0,Indonesian rupiahs
ILS,₪,Israeli New Sheqel,₪,2,0,Israeli new sheqels
INR,Rs,Indian Rupee,টকা,2,0,Indian rupees
IQD,IQD,Iraqi Dinar,د.ع.‏,0,0,Iraqi dinars
IRR,IRR,Iranian Rial,﷼,0,0,Iranian rials
ISK,Ikr,Icelandic Króna,kr,0,0,Icelandic krónur
JMD,J$,Jamaican Dollar,$,2,0,Jamaican dollars
JOD,JD,Jordanian Dinar,د.أ.‏,3,0,Jordanian dinars
JPY,¥,Japanese Yen,￥,0,0,Japanese yen
KES,Ksh,Kenyan Shilling,Ksh,2,0,Kenyan shillings
KHR,KHR,Cambodian Riel,៛,2,0,Cambodian riels
KMF,CF,Comorian Franc,FC,0,0,Comorian francs
KRW,₩,South Korean Won,₩,0,0,South Korean won
KWD,KD,Kuwaiti Dinar,د.ك.‏,3,0,Kuwaiti dinars
KZT,KZT,Kazakhstani Tenge,тңг.,2,0,Kazakhstani tenges
LBP,LB£,Lebanese Pound,ل.ل.‏,0,0,Lebanese pounds
LKR,SLRs,Sri Lankan Rupee,SL Re,2,0,Sri Lankan rupees
LTL,Lt,Lithuanian Litas,Lt,2,0,Lithuanian litai
LVL,Ls,Latvian Lats,Ls,2,0,Latvian lati
LYD,LD,Libyan Dinar,د.ل.‏,3,0,Libyan dinars
MAD,MAD,Moroccan Dirham,د.م.‏,2,0,Moroccan dirhams
MDL,MDL,Moldovan Leu,MDL,2,0,Moldovan lei
MGA,MGA,Malagasy Ariary,MGA,0,0,Malagasy Ariaries
MKD,MKD,Macedonian Denar,MKD,2,0,Macedonian denari
MMK,MMK,Myanma Kyat,K,0,0,Myanma kyats
MOP,MOP$,Macanese Pataca,MOP$,2,0,Macanese patacas
MUR,MURs,Mauritian Rupee,MURs,0,0,Mauritian rupees
MXN,MX$,Mexican Peso,$,2,0,Mexican pesos
MYR,RM,Malaysian Ringgit,RM,2,0,Malaysian ringgits
MZN,MTn,Mozambican Metical,MTn,2,0,Mozambican meticals
NAD,N$,Namibian Dollar,N$,2,0,Namibian dollars
NGN,₦,Nigerian Naira,₦,2,0,Nigerian nairas
NIO,C$,Nicaraguan Córdoba,C$,2,0,Nicaraguan córdobas
NOK,Nkr,Norwegian Krone,kr,2,0,Norwegian kroner
NPR,NPRs,Nepalese Rupee,नेरू,2,0,Nepalese rupees
NZD,NZ$,New Zealand Dollar,$,2,0,New Zealand dollars
OMR,OMR,Omani Rial,ر.ع.‏,3,0,Omani rials
PAB,B/.,Panamanian Balboa,B/.,2,0,Panamanian balboas
PEN,S/.,Peruvian Nuevo Sol,S/.,2,0,Peruvian nuevos soles
PHP,₱,Philippine Peso,₱,2,0,Philippine pesos
PKR,PKRs,Pakistani Rupee,₨,0,0,Pakistani rupees
PLN,zł,Polish Zloty,zł,2,0,Polish zlotys
PYG,₲,Paraguayan Guarani,₲,0,0,Paraguayan guaranis
QAR,QR,Qatari Rial,ر.ق.‏,2,0,Qatari rials
RON,RON,Romanian Leu,RON,2,0,Romanian lei
RSD,din.,Serbian Dinar,дин.,0,0,Serbian dinars
RUB,RUB,Russian Ruble,₽.,2,0,Russian rubles
RWF,RWF,Rwandan Franc,FR,0,0,Rwandan francs
SAR,SR,Saudi Riyal,ر.س.‏,2,0,Saudi riyals
SDG,SDG,Sudanese Pound,SDG,2,0,Sudanese pounds
SEK,Skr,Swedish Krona,kr,2,0,Swedish kronor
SGD,S$,Singapore Dollar,$,2,0,Singapore dollars
SOS,Ssh,Somali Shilling,Ssh,0,0,Somali shillings
SYP,SY£,Syrian Pound,ل.س.‏,0,0,Syrian pounds
THB,฿,Thai Baht,฿,2,0,Thai baht
TND,DT,Tunisian Dinar,د.ت.‏,3,0,Tunisian dinars
TOP,T$,Tongan Paʻanga,T$,2,0,Tongan paʻanga
TRY,TL,Turkish Lira,TL,2,0,Turkish Lira
TTD,TT$,Trinidad and Tobago Dollar,$,2,0,Trinidad and Tobago dollars
TWD,NT$,New Taiwan Dollar,NT$,2,0,New Taiwan dollars
TZS,TSh,Tanzanian Shilling,TSh,0,0,Tanzanian shillings
UAH,₴,Ukrainian Hryvnia,₴,2,0,Ukrainian hryvnias
UGX,USh,Ugandan Shilling,USh,0,0,Ugandan shillings
UYU,$U,Uruguayan Peso,$,2,0,Uruguayan pesos
UZS,UZS,Uzbekistan Som,UZS,0,0,Uzbekistan som
VEF,Bs.F.,Venezuelan Bolívar,Bs.F.,2,0,Venezuelan bolívars
VND,₫,Vietnamese Dong,₫,0,0,Vietnamese dong
XAF,FCFA,CFA Franc BEAC,FCFA,0,0,CFA francs BEAC
XOF,CFA,CFA Franc BCEAO,CFA,0,0,CFA francs BCEAO
YER,YR,Yemeni Rial,ر.ي.‏,0,0,Yemeni rials
ZAR,R,South African Rand,R,2,0,South African rand
ZMK,ZK,Zambian Kwacha,ZK,0,0,Zambian kwachas
ZWL,ZWL$,Zimbabwean Dollar,ZWL$,0,0,Zimbabwean Dollar
